username;tanggal;ulasan;label
iyan alpen97;25/03/2023 22:13;Sudah mau 3 tahun setia sama tokocrypto karena menurutku aplikasi terbaik dengan segudang fitur yang sangat memudahkan untuk para penggunanya dalam berinvestasi kripto terima kasih untuk semuanya tokocrypto salam to the moon #Pilih Tokocrypto #Review Berkah #Siap Lebih Cuan;Positif
Febri Arif Saputra;25/03/2023 21:55;jual beli di Tokocrypto adalah kemudahan absolut bagi para pengguna. tampilan yg bagus dan sederhana memudahkan kita beraktivitas jual beli secara satu klik. Pilihan koin dan beragam token sungguh memanjakan trader manapun. Metode setoran beragam cocok untuk setoran baik transfer bank maupun dompet digital. Mau cepat ya pakai Tokocrypto!;Positif
ILma Nurul Prasena;25/03/2023 21:44;Tokocrypto aplikasi terbaik yg pernah saya pakai jual beli dan investasi kripto selain tampilannya sangat mudah dipahami proses penarikannya pun sangat cepat pokoknya tokocrypto aplikasi kripto nomor 1 di Indonesia salam to the moon;Positif
sayaAIFUL HADI;25/03/2023 21:33;#Pilih Tokocrypto untuk aplikasi favoritmu di dunia kripto, sederhana & elegan, mudah dipahami bagi pemula bagi saya... ayo aktivasi tokocrypto di handphone Kamu bersama Tokocrypto #Siap Lebih Cuan #Review Berkah;Positif
Dez Qafi;25/03/2023 19:07;Gk bisa penarikan;Negatif
YASUDAH LAH;25/03/2023 17:18;Tolong hilangkan verifikasi pake google authenticator, sangat menyulitkan, karena handphone saya yg sebelumnya rusak jadi tidak bisa melakukan penarikan uang , tolong segera diperbaiki;Negatif
Wahyudi Tri kurniawan;25/03/2023 16:51;Saya #pilih TokoCrypto karena aplikasi halus tampilan segar dan mudah, dengan berbagai perdagangan dengan harga realtime lebih mudah buat transaksi. Saya paling suka dengan biaya trade yang murah, penarikan setoran instan juga biaya penarikan murah Selalu utamakan kenyamanan , dan keamanan data biar tokonauts nyaman bertransaksi. Semoga TokoCrypto menjadi aplikasi terpercaya no 1 di indonesia ke depannya tingkatkan terus kestabilan aplikasi agar tokonauts selalu nyaman agar #Siap Lebih Cuan dihari yang penuh berkah #Review Berkah;Positif
Durian Gaming;25/03/2023 16:47;Udh hampir 4 tahun make Tokocrypto aman aja, biayanya termurah pokoknya. Gk bikin ribet aplikasinya acaranya juga banyak, gua senang pake Tokocrypto dibanding yg lain. Terbaik lah to the moon TKO!!!;Positif
Purnama Sidik;25/03/2023 16:43;Dengan adanya aplikasi TOKOCRYPTO kita bisa dengan mudah untuk melakukan pembelian koin koin kripto diantaranya BITCOIN, BNB, ETHERUM dll, apalagi dengan adanya koin TKO koin kepunyaan tokocrypto sendiri. Aplikasi Tokocrypto sangat mudah digunakan apalagi dengan biaya yang sangat murah serta penarikan / setoran sangat sederhana dan mudah dipahami. #Pilih Tokocrypto #Review Berkah #Siap Lebih Cuan UID : 1391986;Positif
LIMA SAJA;25/03/2023 16:41;selain mudah untuk pemula, setoran dan penarikan cepat diproses;Positif
Barkah Ade Kurnia;25/03/2023 16:21;Bagus buat perdagangan kripto menyimpan kripto.. Saran : tambahin sistem earn dong;Positif
RIBAG PROJECT;25/03/2023 16:19;Aku #Pilih Tokocrypto tokocrypto buat jual beli soalnya paling lancar dan aset aman, udah gitu biayanya paling murah! Semoga ke depannya ada lebih banyak fitur seperti launchpad supaya lebih lengkap! #Review Berkah #Siap Lebih Cuan;Positif
Ibnu Eko Budi;25/03/2023 16:16;Tokocrypto menurut saya sebagai aplikasi kripto terbaik di Indonesia yang mudah dipahami. Pilihan koin atau token juga sangat beragam dan cocok untuk kita yg suka mendiversifikasi koin atau token yang kita punya di portofolio kita. Maju terus tokocrypto;Positif
Mohamad Solehudin;25/03/2023 15:30;Masa token dihapus dari tokocrypto kita harus menunggu 30 hari untuk pindah ke aplikasi lain kacau ini tokocrypto;Negatif
Arif Dewanto;25/03/2023 14:26;Tokocrypto memiliki fitur yang sangat bagus dan mudah dipahami. biaya admin dan biaya jual beli yang lebih murah dibandingkan aplikasi yang lain. banyak promo menarik dan serta hadiah yang diberikan kepada penggunanya. sukses terus buat tokocrypto #salamtothemoon;Positif
tomy Vebryan;25/03/2023 00:35;mantap;Positif
abdul malik;24/03/2023 20:50;Mantap sekali;Positif
Hafidz Ghulam;24/03/2023 20:45;Kirain udah baik, ternyata jauh banget dari bagus, dalam banyak hal!!!;Negatif
Hey Aziz;24/03/2023 20:26;DompetNya acak acakan, saya baru masuk setelah lihat dompet acak acakan Koinnya berdasarkan abjad buka koin yang saya punya tidak seperti kemarin kemarin;Negatif
Damanks;24/03/2023 17:59;Dari segi daftar ini aplikasi yg tersulit dibanding indodax, pintu, ajaib, binance & ovo, diawal google authenticator lancar aja dan setelah beberapa bulan eror terus bahkan setelah reset masih gk bisa diaktifkan;Negatif
Fuad hasan;24/03/2023 16:36;Awas jgn jual beli disini, setoran saya yg nyata berhasil dibilang belum masuk, udah 1 hari menunggu katanya belum masuk. Sudah kirim bukti transfer masih dibilang blm masuk;Negatif
Ahmad Yani;24/03/2023 14:46;APLIKASI SAMPAH PENARIKAN MAKIN KESINI MAKIN DIPERLAMBAT ASU;Negatif
Dani Agus Irawan;24/03/2023 03:43;"Pesan notifikasi bisa muncul hanya saja tulisannya hanya ""Notifikasi Baru"" tidak ada keterangan lain di notifikasi tersebut. Perangkat Vivo Z1 Pro. Tolong diperbaiki.";Positif
handi ni;24/03/2023 03:41;Tokocrypto sedang pemeliharaan kah saya melakukan penarikan dari kemarin blm masuk;Negatif
IMAN;24/03/2023 03:06;setoran rupiah ke tokocrypto otomatis jadi bidr. kenapa gk langsung ke dompet rupiah dan kenapa mesti dijadikan bidr? secara bidr itu depeg rupiah jadi dianggap kripto bukan rupiah otomatis kita kena pajak PPN 2kali setelah beli aset kripto;Negatif
Siiip _Paa;23/03/2023 22:33;Tokocrypto sangat membantu bagi pemula dengan fitur - fitur yang mereka buat dan transaksi dengan sangat cepat tidak ada 5 menit dan paling termurah untuk nominal masuk uang dan KYC sangat gampang dilakukan di tokocrypto emang paling terbaik lah tokocrypto;Positif
Mas Indra;23/03/2023 19:33;coba isi saldo 80 ribu, eh gk bisa ditarik, kalau udah banyak baru boleh ditarik dana kita, bayangkan yg unduh puluhan ribu orang kali 100 ribu untung ratusan milyar nih tokocrypto, biaya penarikan pun 10 ribu.;Negatif
Fitra ardi;23/03/2023 19:20;Saya pilih tokocrypto karena saya sangat senang selama menggunakan tokocrypto untuk saya jual beli,, tokocrypto memiliki antarmuka yang mudah buat penggunanya dan tokocrypto juga banyak memiliki fitur yg membuat saya makin suka menggunakan aplikasi ini,, selain itu tokocrypto juga mempunyai banyak kampanye kejutan yang membuat penggunanya memiliki banyak peluang untuk menambah keuntungannya,, terima kasih tokocrypto ,, rujukan : A6254994 #PilihTokocrypto #ReviewBerkah #SiapLebihCuan;Positif
Bayu Putra Murgiyono;23/03/2023 16:43;Biayanya semoga balik seperti dulu lagi dan Harap TKO semoga seperti dulu lagi;Negatif
M ZIDNI ILMAN;23/03/2023 16:24;benar benar aplikasi yang cukup sederhana, dan gk terlalu berat di hp, dan untuk setoran juga mudah dan cepat.;Positif
Optik Paris;23/03/2023 16:19;Tokocrypto aplikasi sangat membantu buat yg awam dalam kripto semoga terus maju dan berkembang;Positif
Sunu Catur;23/03/2023 16:17;aplikasi cukup bagus mudah dimengerti pokoknya bagus deh pake tokocrpyto gk ribet dan cepat sukses buat tokocrpyto;Positif
Endah Krisna;23/03/2023 16:11;Tokocrypto terbaik lah pokoknya karena fiturnya lengkap dan mudah digunakan meskipun pemula yang baru belajar jual beli dan investasi kripto. Tokocrypto aplikasi yang Sangat rekomendasi Di Indonesia. Aku selalu kasih rekomendasi ke teman untuk pakai tokocrypto ;Positif
TER news;23/03/2023 14:22;Susah sekali mendaftar di aplikasi ini. Setelah merekam video lalu apa? Diminta tombol oknya?;Negatif
Yulio Sofyan Marfandi;23/03/2023 12:17;Daftar akun kode verifikasi tidak kirim lama bgt;Negatif
Taufik Nyook;23/03/2023 11:10;Pemula berharap aplikasi ini bagus;Positif
pawit sundorobekti;23/03/2023 00:33;aplikasi terbaik buat kamu pemula, senior, veteran kripto dengan fitur lengkap dan mudah memantau pergerakan pasar tiap saat, sangat tepat buat kamu yang scalping, holding, jual beli ataupun berinvestasi kripto. Banyak pilihan kripto terbaik yang bisa kamu pilih. Salam cuan;Positif
Arif Aulia;22/03/2023 23:19;Pengkinian data tidak melalui aplikasi, dana tertahan 3 hari. Padahal butuh dana cepat.;Negatif
NYTR 1995;22/03/2023 15:06;Tolong dipermudah untuk penarikan susah banget pake google authenticator ganti -ganti lagi, parah penarikan sulit ;Positif
Saiful Anwar;22/03/2023 13:47;Google authenticator bukannya malah bikin ribet, jangan unduh tokocrypto udh mending beli usdt langsung di binance / mexc / dll;Negatif
el sion;22/03/2023 09:49;jelek;Negatif
sigit ridha pratama;22/03/2023 03:22;penarikannya dipercepat dong. jangan setoran doang yang cepat. klo penarikan lama bgt menunggunya. . .;Negatif
Cak Ribut;22/03/2023 00:53;3x24 jam gk kurang lama kah, sekalian 1 bulan verifikasinya;Negatif
carim baee;21/03/2023 22:45;Bisa digunakan untuk pemula;Positif
Marlinus Karombang;21/03/2023 19:53;Aplikasinya mudah digunakan / dipahami dan pendukung pelanggan juga sangat cepat responnya kalau ada yang kurang dipahami / ditanyakan;Positif
Septy Ardiyani;21/03/2023 17:59;Tokocrypto aplikasi terbaik di indonesia ini sih. Saya merasa sangat puas dengan layanan dan fitur tokocrypto maka dari itu saya pilih untuk kebutuhan aset kripto saya. Selain itu antarmukanya sederhana dan keren. setoran dan penarikannya juga tergolong sangat cepat. Memberikan keamanan dan privasi sangat tinggi. Itu bagian terpenting untuk para trader karena nyaman untuk digunakan setiap saat. Soal Legalitasnya juga terpercaya karena terdaftar resmi di BAPPEBTI, jadi tidak perlu diragukan. Sukses;Positif
Ubay Dillah;21/03/2023 16:57;Mantap cuan hehe;Positif
Djoyo Utomo;21/03/2023 16:56;Sangat mempermudah transaksi gk pakai lelet, pokoknya terbaik deh TOKOCRYPTO, salam to the moon;Positif
Fred Gho;21/03/2023 16:50;Aplikasi jual belinya mudah digunakan, lengkap, aman dan banyak sekali hadiah yang diadakan tokocrypto.. semoga semakin jaya tokocrypto;Positif
Nanang Abidin;21/03/2023 16:34;Lebih mudah dan lebih murah biayanya;Positif
Geslam Mini;21/03/2023 16:32;Aplikasi jual beli terbaik sih:) setoran atau pun penarikan sangat cepat tidak mengecewakan pengguna :) ke depannya semoga banyak acara lagi, TKO TO THE MOON:);Positif
Wildan Mubarrak Siregar;21/03/2023 16:24;Aplikasi terbaik untuk menambah saham masa depan;Positif
Rianto Ferry Prasetyo;21/03/2023 05:49;Blm ada solusi apabila verifikasi ditolak tdk bisa mengajukan verifikasi lagi;Negatif
Tonny Bambang Indosafety Jaya Mandiri;21/03/2023 04:48;Bagian obrolan langsung susah dan lama responnya karena saya mau tanya tidak dijawab.;Negatif
Sala Miah;20/03/2023 22:19;Sangat jelas;Positif
Ahmad Zainuddin;20/03/2023 20:46;Pilih Tokocrypto tokocrypto jual beli terpercaya, mantap… biaya murah… semoga ke depannya tambah sukses Review Berkah Siap Lebih Cuan;Positif
Anwar Saipul Rohmi;20/03/2023 15:40;Mau verifikasi akun gagal terus, katanya kesalahan jaringan padahal jaringan bagus.;Negatif
Yulian Charles;20/03/2023 11:56;Kepercayaan terhadap Tokocrypto sebagai partner dari Binance adalah salah satu Aplikasi Kripto Nomor 1 Dunia. Harapan saya Tokocrypto akan menjadi Aplikasi Kripto terbaik Dunia sama seperti Binance, baik dalam pelayanan dan kecepatan bertransaksi. Terima Kasih;Positif
Drama asia;20/03/2023 10:12;Bagus mudah digunakan;Positif
andre Wuriadi;20/03/2023 01:46;Tampilan mudah dipahami, jual beli pairs yang bervariasi baik dalam IDR maupun USD, fitur setoran dan penarikan yang cepat dan biayanya murah dan yang paling penting adalah Tokocrypto memiliki lisensi BAPPEBTI.;Positif
Nop Iii;20/03/2023 00:30;hah ribet mau penarikan aja pake dipersulit jadi males;Negatif
Hantri Darodjat;19/03/2023 23:00;Tokocrypto merupakan aplikasi yg sangat mudah dipahami & cepat dalam melakukan transaksi. Ayo bagi trader gunakan tokocrypto untuk jual beli yg menguntungkan. Bravo Tokocrypto;Positif
made dwiprastawa;19/03/2023 17:40;Saya sebagai ojek daring, jika ada dana lebih selalu jual beli di tokocrypto. selain pembayaran bisa lewat gopay, jual beli di tokocrypto lumayan mudah. beritanya selalu baru. Tidak akan pindah ke lain hati. hanya Tokocrypto tempat membeli koin digital terbaik di Indonesia;Positif
Adi Arif;19/03/2023 17:39;Tokocrypto adalah salah satu Aplikasi perdagangan kripto terkemuka di Indonesia. Mereka menawarkan perdagangan berbagai jenis kripto seperti Bitcoin, Ethereum, Ripple, Litecoin, dan banyak lagi. Tokocrypto memungkinkan pengguna untuk membeli dan menjual kripto. Tokocrypto tidak menawarkan fungsi batas jual beli, yang merupakan fitur yang populer di beberapa aplikasi perdagangan kripto. Fungsi ini memungkinkan pengguna untuk meminjam uang dari aplikasi untuk membeli.;Positif
Achmad Burhanudin;19/03/2023 17:25;Aplikasi mantap;Positif
aang anggara;19/03/2023 17:24;investasi terpercaya hanya tokocrypto;Positif
Kukuh Dwi Setyadi;19/03/2023 17:17;Aplikasinya enak baget untuk pemula kaya saya, karena fiturnya yang sederhana dan jelas serta lengkap membuat pengalaman jual beli pertama saya menjadi sangat menyenangkan. Daftarnya mudah ( gk dipersulit ) , biaya admin & biaya jual belinya murah banget lagi . Untuk trader pemula wajib deh pake aplikasi tokocrypto ini , dijamin gk nyesel deh ;Positif
Jalan Pintas Indonesia;19/03/2023 17:04;Gue dari awal jual beli menggunakan tokocrypto ,, belajar apa itu kripto , bagaimana cara berinvestasi untuk masa depan . sumpah ini aplikasi menurut gue yang terbaik , biaya penarikan murah , selalu memberi pelayanan cepat dan penjelasan tentang semua fitur .... adminnya juga cepat respon . ketika ada keluhan atau masalah yang ingin ditanyakan adminnya selalu memberi arahan dengan benar agar aset kita aman .. yuk berinvestasi ke tokocrypto . simpan kriptomu untuk masa depanmu;Positif
Boycrypto;19/03/2023 16:59;Tokocrypto pilihan terbaik untuk jual beli dan investasi kripto . setoran dari Bank juga sangat cepat , biaya transaksi tidak memberatkan . Untuk warga 62 , sudahlah pilih tokocrypto;Positif
Yogi Yansayaah;19/03/2023 16:55;Dari awal jual beli sampai sekarang Aku udah # Pilih Tokocrypto @ tokocrypto buat jual beli soalnya paling keren , paling aman , paling sederhana jadi memudahkan pengguna baru , proses setoran penarikan banyak pilihan mudah dan cepat , token termasuk terlengkap , sering bagi bagi berkah lagi , Semoga ke depannya ada versi Lite supaya bisa jual beli dimana aja! # Review Berkah # Siap Lebih Cuan;Positif
mas Alfi;19/03/2023 16:53;setoran & penarikan cepat , biayanya kecil, saya pakai tokocrypto bisa langsung terhubung ke binance .. Kalo bisa tambah fitur earn .. ;Positif
JAKA TRI ATMAJA;19/03/2023 16:43;Aplikasi jual beli yang paling bagus dah , cepat lagi prosesnya , dan ada banyak promo promo cuannya . Jadi yang terbaik deh;Positif
Yana Mulyana;19/03/2023 16:40;Sangat mudah digunakan dan akses cepat dalam transaksi;Positif
Zunned;19/03/2023 16:38;Tokocrypto aplikasi perdagangan kripto yang paling mudah dipahami , aman , banyak pilihan koinnya , penarikannya juga cepat dan yg penting sudah bisa banyak pilihan buat setoran .. pokoknya tokocrypto mantap , semoga ke depannya ada fitur futures .;Positif
ROBIN DUFANDER ARITONANG;19/03/2023 16:32;Tokocrypto adalah aplikasi perdagangan kripto yang paling terbaik untuk sekarang dibanding yang lain , kenapa ??? karna aset dijamin aman , untuk keamanan akun 100 % aman , setoran juga cepat bisa via apa aja , dompet digital , akun virtual , transfer , hitungan menit masuk , penarikan juga cepat yang pasti biayanya murah dibanding aplikasi lain , banyak koin yang bisa kita beli , dan yang paling seru Tokocrypto banyak acaranya untuk penggunanya , salut sih sama ini aplikasi , sejauh ini saya sangat merekomendasikan tokocrypto dibanding yg lain;Positif
industrial barn door;19/03/2023 16:30;mantap aplikasi tokocrypto;Positif
Abri Pancasetia;19/03/2023 16:29;Lebih mudah penarikan dan setoran di tokocrypto. Dan lebih mudah melihat grafik naik dan turun nya. Terima kasih. Sukses selalu.;Positif
Faizal Amri (BOH);19/03/2023 16:26;Aplikasinya sangat mudah digunakan dan saat pencairan juga mudah bisa melalui Transfer bank maupun dompet digital. Prosesnya cepat dan mudah serta Biaya transfer yang standar. Pokoknya senang banget deh pakai aplikasi ini ;Positif
Andika sayaafii;19/03/2023 16:19;Untuk saat ini masih tokocrypto yang aku percaya untuk transaksi secara aman;Positif
RIDLOWI AS;19/03/2023 16:16;tokocrypto memberikan kesempatan bagi saya untuk belajar tentang kripto, setoran mudah, cepat masuk ke akun dan tampilannya sangat keren;Positif
Hidup Makan;19/03/2023 16:14;Mantap aplikasi lokal yang antarmuka mudah digunakan, aman dapat dipercaya. Semoga tokocrypto dapat membuat aplikasi lebih ringan , aman dan makin intuitif, to the moon;Positif
lukman priambodo;18/03/2023 22:02;gk pernah mengecewakan, apalagi waktu penarikan ke bank cepat banget;Positif
Yoga Priyatna;18/03/2023 21:58;Sebagai aplikasi terbaik saya, karena fitur yang sangat lengkap menjadikan saya nyaman menggunakan tokocrypto, fitur konversi saldo kecil, pelayanan yang cepat, program 1TKO1Indonesia pun sudah sangat sukses, membuat saya semakin yakin menggunakan tokocrypto, terima kasih banyak tokocrypto, semoga menjadi aplikasi terbesar bukan hanya di lokal tapi di internasional juga, amin ;Positif
Permata Swara;18/03/2023 17:05;NOTIF alarm harga telat terus harus buka aplikasi kadang baru muncul.. padahal hp saya sudah cukup canggih spesifikasi dan sinyalnya . Aplikasi binance lebih tepat begitu harga nyentuh langsung bunyi ;Negatif
Arjun Arjuna;18/03/2023 13:08;Bagus;Positif
Alin Tiar;18/03/2023 10:23;Mau penarikan ribet bgt sumpah;Negatif
Sofyan;18/03/2023 08:59;kocak aplikasinya, mau verifikasi aja susah;Negatif
Abu Hanifah;18/03/2023 05:21;Ini kenapa gk bisa penarikan gua ?;Negatif
Hendryanto B;18/03/2023 05:11;Kemudahan bertransaksi kripto, dengan biaya cukup ringan, terhubung langsung bank lokal jadi tidak ribet bahkan bisa lewat Dana... yang terpenting keamanan yang super ketat, melindungi kita dari kehilangan aset kita. #Review Berkah #SiapLebihCuan #Pilih TokoCrypto;Positif
Rio Halauwet;17/03/2023 21:31;Aku kasih ulasan pribadi menggunakan aplikasi Tokocrypto ya guys ya... aplikasi jual beli kripto yang sudah terverifikasi oleh pemerintah Bappebti yang sangat cocok bagi kalian yang mau inves maupun jual beli dengan keamanan yang terbaik dan terpercaya. setoran yang mudah dan menawarkan biaya admin dan jual beli murah adalah salah satu keunggulannya. Bahkan Tokocrypto juga punya koin sendiri loh utk jual beli namanya TKO.. Aku berharap Tokocrypto menjadi Aplikasi Digital Kripto Terbesar se Asia.. Amin;Positif
Deri Muhammad Boy;17/03/2023 21:20;UNTUK VERIFIKASI TOLONG WAKTUNYA JANGAN 60 DETIK.. kode email, sms dan google itu butuh waktu juga… masa mau masuk google udah habis waktu semua... RIBET;Negatif
Teman Bergembira;17/03/2023 21:11;Sepanjang saya menggunakan aplikasi Tokocrypto, saya merasa dimudahkan dalam jual beli, fiturnya lengkap, setoran dan penarikan mudah, Banyak pilihan koin / token dan tentu satu hal dari manfaat lainnya adalah Tokocrypto kerap kali berbagi hadiah sebagai bentuk apresiasi bagi para penggunanya, dalam hal ini, saya karena cukup sering dapat hadiahnya hehe.. Terima kasih tokocrypto;Positif
Fernando Siregar;17/03/2023 20:14;Kenapa ya AKUN gw tiba tiba kadaluwarsa UDH KE 4 KALI begini terus,,,, Pas mau masuk susah banget padahal EMAIL SAMA SANDI benar,, Hari ini kadaluwarsa dan GK bisa masuk padahal gw udh nyoba EMAIL sandi benar tp GK bisa masuk,,,, tolong diperbaiki Aplikasinya masa saya udh sering gini Mulu gimna NANTI SALDO SAYA KALAU GK BISA MASUK???????;Negatif
Andaru Femitare;17/03/2023 19:49;Salah satu aplikasi perdagangan kripto terbaik di Indonesia, mudah, dan lumayan murah dan cepat untuk proses pencairan ke bank lokal dari BIDR;Positif
Dimas yoga adriansayaah;17/03/2023 19:21;Gk salah sih kalau aplikasi perdagangan kripto terbaik di Indonesia dinobatkan buat Tokocrypto. Selain jual belinya mudah, Kelancaran Aplikasinya, Tokocrypto juga mengadakan banyak acara dan yg pasti Udah Jadi aplikasi yg terverifikasi Di Indonesia, Jadi gk perlu ragu lagi deh buat jual beli di Tokocrypto. Udah pasti cuan!;Positif
Azka Wil;17/03/2023 19:05;Bagus mantap;Positif
Lucky Luke;17/03/2023 18:16;gk diragukan lagi simpan aset juga aman jual beli lebih mudah biaya bisa dipotong pake TKO,, mantap..;Positif
Yudhi Gunawan;17/03/2023 17:03;Aku #Pilih Tokocrypto @Tokocrypto karena sangat bermanfaat bagi anda yang pemula dan ingin mengenal kripto dan belajar jual beli sangat bermanfaat dengan berbagai fitur lengkap gampang digunakan untuk pemula terima kasih @Tokocrypto #Siap Lebih Cuan #Review Berkah;Positif
Ipan Riyanto;17/03/2023 16:49;Instal 2020, iseng iseng jual beli koin , dari kendaraan cuma punya motor alhamdullilah sekarang udah punya mobil, punya uang 1 juta iseng beli koin gua jual beli, dari untung 15 rb perak sampai 700 ribuan untung jual beli setiap harinya.;Positif
Irwan Fauzi;17/03/2023 16:37;Tokocrypto memang bagus banget terpercaya buat pengguna baru apalagi yang ingin memulai jual beli, fitur - fiturnya sangat lengkap dan mudah banget dipahami Ditambah banyak banget acara menarik. klo soal keamanan gk usah diragukan lagi;Positif
Muhtar Muhtar;17/03/2023 16:28;Aplikasinya bagus transaksi mudah, harga pasar realtime serta memiliki fitur keamanan yg sangat baik, terbaik deh pokoknya;Positif
tunas sepeda;17/03/2023 16:18;Mantap dan mudah dimengerti ;Positif
Gadget an;17/03/2023 16:14;Aplikasi mantap jiwa, biaya murah, terpercaya dan pastinya legal diindonesia diawasi oleh badan pemerintahan di indonesia kita tercinta. harapan saya ke depannya supaya tokocrypto lebih baik dan dapat diakses semua warga indonesia dan menyukseskan semua warga indonesia amin;Positif
Muchlis;17/03/2023 16:07;Aplikasi jual beli Teraman dan terbaik di Indonesia;Positif
Akbar Shora;17/03/2023 13:41;Aku pilih tokocrypto sebagai alat jual beli aku karna tokocrypto merupakan aplikasi terbaik nomor 1 di indonesia dengan keamanan yang super AMAN banget, tokocrypto juga sangat mudah digunakan untuk para pemula yang baru terjun ke dunia jual beli kripto, tokocrypto sangat rekomendasi sebagai alat jual beli kalian :) Banyak acara menarik pastinya yang selalu tokocrypto bagikan kepada penggunanya, jadi kalian bisa dapat cuan lebih! Saya Bangga menjadi pengguna tokocrypto! To the Moon bareng $TKO ! :);Positif
Ahmad Azis;17/03/2023 07:11;Aplikasinya sudah ok banget, saya kasih bintang 3 karena boros banget paket datanya alias agak berat, kepada pengembang agar dipertimbangkan untuk diperbaiki;Negatif
Ok Jeck;17/03/2023 01:49;Pelayanan bagus saya pengguna tokocrypto sudah 5 tahun sampai saat ini masih ok ok aja bagus lah mantap;Positif
eko prihasanto;17/03/2023 00:37;Setelah perbarui terbaru, tokocrypto kok sering eror, sering keluar sendiri yah, jadi repot kalo mau akses aplikasi harus selalu masukin email sama kata sandi lagi, gk kayak sebelum diperbarui;Negatif
bung Repi;16/03/2023 22:19;1 dulu Aplikasi suka keluar sendiri, aneh;Negatif
Achmad Choiri;16/03/2023 17:51;Terima kasih Tokocrypto saya sudah memakai aplikasi ini selama 2 tahun, dan semakin baik pelayanannya kerja bagus tim Tokocrypto ;Positif
Hrdk Drop;16/03/2023 16:32;Daftar aplikasinya gk ribet, proses transaksi cepat, aplikasi aman untuk kaum awam yg kadang takut main kripto. Semoga update nanti ada fitur tambahan setoran pulsa dan beli voucer game via Tokocrypto;Positif
Eli Sumarlina;16/03/2023 14:45;Saya kira ini sudah termasuk aplikasi terbaik di indonesia, mungkin akan masuk yang terbaik lagi tahun depan untuk aplikasi di asia. Saya suka antarmukanya sederhana dan keren, setoran dan penarikan apalagi sangat cepat, itu memberikan sinyal positif buat trader karena nyaman buat digunakan setiap saat. Semoga nambah sukses ke depannya untuk Tokocrypto...;Positif
indra yaza;16/03/2023 12:47;Sampai sekarang belum bisa mendaftar dan verifikasi;Negatif
Khoirul Azam;16/03/2023 10:32;Pelayanan buruk.... Buat data kyc susah.... Padahal data sudah asli semua masih ditolak terus;Negatif
Wahyu Ari S;16/03/2023 10:10;Aplikasinya Mudah diPakai dan diPahami , tidak ribet seperti aplikasi lain . Mudah , Ringan , dan sederhana dalam melakukan jenis transaksi . Maju Terus TokoCrypto Indonesia , Sukses selalu . Banyak Promonya , Mudah ikuti acaranya !!!!;Positif
januar setyawan;15/03/2023 21:28;Aplikasinya mudah digunakan, apalagi untuk pemula seperti saya. Dan ada obrolan langsung, jadi jika ada masalah bisa langsung dihubungi. Karena saya pernah ada kendala, dan langsung menghubungi obrolan langsung, dan itu sangat membantu sekali.;Positif
Zu Zunedtea;15/03/2023 19:50;tokocrypto alhamdullilah satu - satunya aplikasi pertukaran kripto yg terdaftar di bappebti Untuk yg Pertama. Jadi saya yakin banget dengan tokocrypto terpercaya, aplikasi yang sangat mudah dimengerti oleh pemula. Saya sangat bersyukur bisa terdaftar di tokocrypto karna saya sudah terselamatkan dalam keuangan saya. semoga tokocrypto jaya selalu dan indonesia bisa lebih maju lagi. Terima kasih banyak tokocrypto dan jangan khawatir tokocrypto tiap bulan ya suka bagi - bagi hadiah. #Review Berkah #Siap Lebih Cuan;Positif
Hanifah Halyza;15/03/2023 17:30;aplikasi perdagangan kripto dengan tampilan yang elegan, grafik jelas tidak manipulasi data. setoran mudah selama saya menggunakan belum pernah terjadi kendala pendukung pelanggan juga siap 24 jam respon cepat;Positif
Pe Thu;15/03/2023 17:27;Keren deh pokoknya ;Positif
CV.PROFESIONAL DESIGN;15/03/2023 17:18;Saya #Pilih Tokocrypto @Tokocrypto buat jual beli soalnya paling terpercaya dan lebih baik dari aplikasi tetangga jarang banget gangguan, biayanya paling murah! Semoga ke depannya ada widget buat hp dan laptop biar bisa memantau tanpa buka situsnya dulu #Review Berkah #Siap Lebih Cuan;Positif
Bobby Irawan;15/03/2023 17:05;Saya pilih #Pilih Tokocrypto @tokocrypto karena mudah untuk digunakan, biaya transaksi murah dan keamanan yang kuat. Saya berharap tokocrypto ke depannya lebih baik lagi, mungkin ditambah menu staking dan tugas harian. #Review Berkah #Siap Lebih Cuan;Positif
Asep Saepul Bahri;15/03/2023 17:04;Saya sangat suka dengan aplikasi ini karena pengembangnya sangat ramah saat mengalami kendala saat transaksi. Terima kasih tokocrypto;Positif
Adi Prayitno;15/03/2023 16:55;dari yang sebelumnya sering ganti tempat aplikasi pertukaran sekarang aku pilih Tokocrypto, karena beberapa hal sih seperti penarikan dana yang cepat, dan yang paling terpenting biaya adminnya itu murah, yang bikin nyaman lagi kalau semisal kita butuh koin kripto tertentu untuk biaya gas kita bisa setoran melalui dompet digital seperti Dana, Linkaja, Gopay, dan Shopeepay dan masuk ke dalam saldo BIDR yang bisa kita gunakan untuk membeli koin kripto yang kita butuhkan. Coba aja deh kalau gk percaya :));Positif
Febi Pirmansayaah;15/03/2023 16:52;Menurut saya Tokocrypto merupakan aplikasi perdagangan yang paling mudah dan mudah digunakan, aplikasi ini sudah memiliki izin resmi di Indonesia, daftarnya mudah, udah bikin mata uang digital Indonesia, Banyak kampanye menarik, proses setoran maupun penarikannya cepat. Semoga Tokocrypto tambah maju, dan semoga acaranya lebih banyak lagi buat pengguna setia tokocrypto;Positif
erwin asuk;15/03/2023 16:43;Aku #Pilih Tokocrypto keren;Positif
